_id,rata,ente,descrizione,cod_tipoimposta,tipo_imposta,cod_imposta,imposta,spesa,aggregation-time,area_geografica,Tipo Imposta,SPESA TOTALE,2cod_imposta,cod imposta ext,ente%code
671A780D568F1404768E2C2E,202409.0,829.0,Agenzia Industrie Difesa Aid,4,Varie,11.0,Prestiti,37658.310000000005,2024-10-24T18:30:35.560,Isole,Varie,37658.310000000005,11,11,974.0
65Ee5Ac5F458Af56Cdec17C3,202402.0,954.0,Ispettorato Nazionale Del Lavoro,3,Previdenziali,13.0,Previdenziali A Carico Del Datore Di Lavoro,4270077.049999818,2024-03-11T02:01:04.421,Isole,Previdenziali,4270077.049999818,13,13,954.0
663Ec5F23F62190222Cfb5E4,202404.0,867.0,Agenzia Italiana Del Farmaco - Aifa,2,Erariali,7.0,Addizionali Regionali,74834.28999999996,2024-05-11T03:01:07.269,Isole,Erariali,74834.28999999996,7,7,867.0
671A7805568F1404768E2B28,202409.0,971.0,Arpal Puglia,4,Varie,10.0,Ritenute Sindacali,5436.779999999991,2024-10-24T18:30:35.560,Centro,Varie,5436.779999999991,10,10,971.0
6731590C568F146446645D37,202410.0,963.0,Autorita' Di Bacino Distrettuale Dell'Appennino Meridionale,4,Varie,11.0,Prestiti,4886.780000000001,2024-11-11T02:00:28.485,Centro,Varie,4886.780000000001,11,11,963.0
6667A4B7262Bc331Baee730F,202405.0,822.0,Regione Lazio,4,Varie,12.0,Altre Voci,147219.47000000317,2024-06-11T03:01:23.745,Nord,Varie,147219.47000000317,12,12,822.0
65Ee5Ac7Eb0F334C8D2B5B2F,202402.0,960.0,Autorita' Di Bacino Distr. Dell'Appennino Settentrionale,3,Previdenziali,14.0,Previdenziali A Carico Del Lavoratore,11331.860000000026,2024-03-11T02:01:04.421,Nord,Previdenziali,11331.860000000026,14,14,960.0
663Ec5F43F62190222Cfb6A8,202404.0,970.0,Parco Del Circeo,2,Netto,7.0,Addizionali Regionali,454.89,2024-05-11T03:01:07.269,Nord,Erariali,454.89,7,7,970.0
66Bf60530377F64Bd0Cd2611,202407.0,12.0,Ministero Dell'Interno,3,Previdenziali,14.0,Previdenziali A Carico Del Lavoratore,59953873.38,2024-08-16T16:11:01.334,Centro,Previdenziali,59953873.38,14,14,12.0
65Ee5Ac6F458Af56Cdec184D,202402.0,953.0,Anpal - Agenzia Nazionale Per Le Politiche Attive Del Lavoro,4,Varie,9.0,Riscatti,256.3,11-03-24,Centro,Varie,256.3,9,9,953.0
65Ee5Ac6F458Af56Cdec185A,202402.0,12.0,Ministero Dell'Interno,3,Previdenziali,13.0,Previdenziali A Carico Del Datore Di Lavoro,137722559.64,2024-03-11T02:01:04.421,Sud,Previdenziali,137722559.64,13,13,12.0
