_id,mese,anno,codice_ente,descrizione_ente,provincia_sede,regione_sede,attivazioni,cessazioni,RATA,aggregation-time,qualifica,Provincia Sede,CODICE ENTE,3descrizione,regione%sede,att ivazioni
6852Caf6205349164Beba13C,9.0,2024.0,19.0,Ministero Universita' E Ricerca,Mt,16.0,508.0,13.0,202409.0,18-06-25,Dirigente,Mt,19.0,Ministero Universita' E Ricerca,16.0,508.0
6852Caf6205349164Beb8Fa0,8.0,2023.0,22.0,Agenzia Delle Entrate,Nu,19.0,0.0,2.0,202308.0,2025-06-18T16:15:20.148346,Operatore,Nu,22.0,Agenzia Delle Entrate,19.0,0.0
6852Caf7205349164Bebc41A,10.0,2023.0,19.0,Ministero Universita' E Ricerca,Vc,1.0,42.0,0.0,202310.0,2025-06-18T16:15:20.148346,Operatore,Vc,19.0,Ministero Universita' E Ricerca,1.0,42.0
6852Caf4205349164Beb164E,11.0,2023.0,9.0,Ministero Della Giustizia,Ra,7.0,0.0,1.0,202311.0,2025-06-18T16:15:20.148346,Funzionario,Ra,9.0,Ministero Della Giustizia,7.0,0.0
6852Caea205349164Be91381,3.0,2024.0,22.0,Agenzia Delle Entrate,Pi,8.0,2.0,0.0,202403.0,2025-06-18T16:15:20.148346,Operatore,Pi,22.0,Agenzia Delle Entrate,8.0,2.0
6852Cae9205349164Be8F3E8,1.0,2024.0,9.0,Ministero Della Giustizia,Pe,12.0,1.0,3.0,202401.0,2025-06-18T16:15:20.148346,Impiegato,Pe,9.0,Ministero Della Giustizia,12.0,1.0
6852Caf2205349164Beac6Be,2.0,2023.0,9.0,Ministero Della Giustizia,Bs,3.0,1.0,7.0,202302.0,2025-06-18T16:15:20.148346,Impiegato,Bs,9.0,Ministero Della Giustizia,3.0,1.0
6852Caf2205349164Bea97Bf,11.0,2024.0,22.0,Agenzia Delle Entrate,Ag,18.0,0.0,2.0,202411.0,2025-06-18T16:15:20.148346,Impiegato,Ag,22.0,Agenzia Delle Entrate,18.0,0.0
6852Caf0205349164Bea3F1D,8.0,2024.0,19.0,Ministero Universita' E Ricerca,Su,19.0,42.0,551.0,202312.0,2025-06-18T16:15:20.148346,Dirigente,Su,19.0,Ministero Universita' E Ricerca,19.0,42.0
6852Caf8205349164Bebee09,4.0,2024.0,19.0,Ministero Universita' E Ricerca,Pi,8.0,0.0,248.0,202404.0,2025-06-18T16:15:20.148346,Operatore,Pi,19.0,Ministero Universita' E Ricerca,8.0,0.0
6852Caf1205349164Bea63Fc,6.0,2023.0,1.0,Ministero Dell'Economia E Finanze,Fi,8.0,8.0,2.0,202306.0,2025-06-18T16:15:20.148346,Operatore,Fi,1.0,Ministero Dell'Economia E Finanze,8.0,8.0
6852Caf5205349164Beb74B6,9.0,2024.0,19.0,Ministero Universita' E Ricerca,Ro,4.0,2.0,0.0,202402.0,2025-06-18T16:15:20.148346,Funzionario,Ro,19.0,Ministero Universita' E Ricerca,4.0,2.0
6852Caeb205349164Be95856,6.0,2024.0,19.0,Ministero Universita' E Ricerca,En,18.0,28.0,17.0,202407.0,2025-06-18T16:15:20.148346,Operatore,En,19.0,Ministero Universita' E Ricerca,18.0,28.0
6852Caf1205349164Bea66D1,3.0,2023.0,4.0,Ministero Dell'Istruzione E Del Merito,Vb,1.0,9.0,12.0,202303.0,2025-06-18T16:15:20.148346,Operatore,Vb,4.0,Ministero Dell'Istruzione E Del Merito,1.0,9.0
6852Caed205349164Be99978,2.0,2024.0,2020.0,Ministero Dell'Interno - Dipartimento Della P.S.,Vr,4.0,0.0,9.0,202402.0,2025-06-18T16:15:20.148346,Operatore,Vr,2020.0,Ministero Dell'Interno - Dipartimento Della P.S.,4.0,0.0
6852Caf1205349164Bea8B51,5.0,2023.0,954.0,Ispettorato Nazionale Del Lavoro,Fc,7.0,3.0,0.0,202305.0,2025-06-18T16:15:20.148346,Dirigente,Fc,954.0,Ispettorato Nazionale Del Lavoro,7.0,3.0
6852Caeb205349164Be9534F,11.0,2023.0,974.0,Agenzia Industrie Difesa Aid,Fr,11.0,0.0,1.0,202311.0,2025-06-18T16:15:20.148346,Dirigente,Fr,974.0,Agenzia Industrie Difesa Aid,11.0,0.0
